year,binding_constraint,stock_days,aum
2010,ADV_FAIL,16603,50000000
2010,EARN_WINDOW,1613,50000000
2010,MCAP_FAIL,55332,50000000
2010,MISSING_LOOKBACK,40000,50000000
2010,PRICE_FAIL,7172,50000000
2010,TARGET_WEIGHT,131280,50000000
2011,ADV_FAIL,23047,50000000
2011,EARN_WINDOW,3802,50000000
2011,MCAP_FAIL,45716,50000000
2011,MISSING_LOOKBACK,960,50000000
2011,PRICE_FAIL,9186,50000000
2011,TARGET_WEIGHT,169288,50000000
2012,ADV_FAIL,24994,50000000
2012,EARN_WINDOW,3612,50000000
2012,MCAP_FAIL,43099,50000000
2012,MISSING_LOOKBACK,1160,50000000
2012,PRICE_FAIL,6911,50000000
2012,TARGET_WEIGHT,170223,50000000
2013,ADV_FAIL,29994,50000000
2013,EARN_WINDOW,3433,50000000
2013,MCAP_FAIL,27440,50000000
2013,MISSING_LOOKBACK,1280,50000000
2013,PRICE_FAIL,3880,50000000
2013,TARGET_WEIGHT,185972,50000000
2014,ADV_FAIL,33109,50000000
2014,EARN_WINDOW,4874,50000000
2014,MISSING_LOOKBACK,1280,50000000
2014,PRICE_FAIL,2624,50000000
2014,TARGET_WEIGHT,210113,50000000
2015,ADV_FAIL,24687,50000000
2015,EARN_WINDOW,8108,50000000
2015,MISSING_LOOKBACK,1600,50000000
2015,PRICE_FAIL,2512,50000000
2015,TARGET_WEIGHT,215091,50000000
2016,ADV_FAIL,20424,50000000
2016,EARN_WINDOW,8577,50000000
2016,MISSING_LOOKBACK,1040,50000000
2016,PRICE_FAIL,1692,50000000
2016,TARGET_WEIGHT,220092,50000000
2016,VOL_FAIL,173,50000000
2017,ADV_FAIL,15032,50000000
2017,EARN_WINDOW,9077,50000000
2017,MISSING_LOOKBACK,1120,50000000
2017,PRICE_FAIL,978,50000000
2017,TARGET_WEIGHT,224732,50000000
2017,VOL_FAIL,61,50000000
2018,ADV_FAIL,7798,50000000
2018,EARN_WINDOW,9698,50000000
2018,MISSING_LOOKBACK,1120,50000000
2018,PRICE_FAIL,376,50000000
2018,TARGET_WEIGHT,231980,50000000
2018,VOL_FAIL,27,50000000
2019,ADV_FAIL,6141,50000000
2019,EARN_WINDOW,9968,50000000
2019,MISSING_LOOKBACK,1280,50000000
2019,PRICE_FAIL,1172,50000000
2019,TARGET_WEIGHT,233274,50000000
2019,VOL_FAIL,160,50000000
2020,ADV_FAIL,5898,50000000
2020,EARN_WINDOW,10050,50000000
2020,MISSING_LOOKBACK,1280,50000000
2020,PRICE_FAIL,1699,50000000
2020,TARGET_WEIGHT,231711,50000000
2020,VOL_FAIL,2362,50000000
