year,avg_base_names,avg_eligible_names,min_eligible_names,max_eligible_names
2010,1000.0,520.952380952381,0,657
2011,999.9960317460317,671.7777777777778,556,720
2012,999.996,680.892,590,717
2013,999.9960317460317,737.984126984127,666,779
2014,1000.0,833.781746031746,690,886
2015,999.9920634920635,853.5357142857143,694,911
2016,999.9920634920635,873.3809523809524,680,953
2017,1000.0,895.3466135458167,710,949
2018,999.9960159362549,924.2231075697212,739,977
2019,999.9801587301587,925.6904761904761,741,978
2020,1000.0,915.8537549407115,701,978
2021,1000.0,941.4007936507936,732,995
2022,999.9960159362549,941.8884462151394,736,992
2023,999.94,941.128,725,993
2024,1000.0,945.9603174603175,726,997
