feature_number,feature_name
1,eligibility_reason
2,r_on_mean_5
3,on_mom_5_20
4,r_on_lag1
5,gap_vs_on_mean20
6,on_reversal_1d
7,r_on_today
8,r_cc_mean_5_lag1
9,r_on_mean_20
10,cc_mom_5_20
11,r_on_today_to_vol20
12,month
13,abs_r_on_today
14,cc_reversal_1d
15,r_cc_lag1
16,r_cc_mean_20_lag1
17,r_id_mean_20_lag1
18,r_id_mean_5_lag1
19,r_on_mean_5_cs_rank
20,vol_20_lag1
21,id_reversal_1d
22,r_id_lag1
23,abs_r_cc_lag1
24,r_on_mean_20_cs_rank
25,abs_r_on_today_to_vol20
26,r_on_lag1_cs_rank
27,day_of_week
28,id_mom_5_20
29,r_cc_lag1_to_vol20
30,vol_60_lag1
31,on_mom_5_20_cs_rank
32,r_cc_mean_5_lag1_cs_rank
33,cc_reversal_1d_cs_rank
34,on_reversal_1d_cs_rank
35,id_reversal_1d_cs_rank
36,r_cc_lag1_cs_rank
37,dtcn_change_5_lag1
38,r_id_lag1_cs_rank
39,r_on_today_cs_rank
40,abs_r_cc_lag1_cs_rank
41,abs_r_on_today_cs_rank
42,cc_mom_5_20_cs_rank
43,is_month_end
44,ddtcn_change_5_lag1
45,r_id_mean_5_lag1_cs_rank
46,vol_20_lag1_cs_rank
47,id_mom_5_20_cs_rank
48,vol_60_lag1_cs_rank
49,r_cc_mean_20_lag1_cs_rank
50,gap_vs_on_mean20_cs_rank
51,r_on_today_to_vol20_cs_rank
52,dtcn_change_5
53,dsi_change_5_lag1
54,r_id_mean_20_lag1_cs_rank
55,abs_r_on_today_to_vol20_cs_rank
56,ddtcn_change_5
57,r_cc_lag1_to_vol20_cs_rank
58,is_monday
59,is_month_start
60,price_for_filter
61,log_price_for_filter
62,is_year_end
63,is_friday
64,dtcn_lag1
65,dtcn
66,log_market_cap
67,dsi_change_20_lag1
68,ddtcn_change_20_lag1
69,dtcn_lag20
70,log_adv20
71,ddtcn_change_5_cs_rank
72,dtcn_change_20
73,market_cap_rank
74,dsi_change_5_cs_rank
75,dsi_change_5
76,dtcn_change_20_lag1
