feature,ridge_coef_standardized,abs_coef
vol_60_lag1,0.00087391096,0.00087391096
vol_60_lag1_cs_rank,-0.0005340365,0.0005340365
vol_20_lag1,-0.0003540078,0.0003540078
r_cc_lag1_to_vol20,-0.00030239992,0.00030239992
market_cap_rank,0.0003003532,0.0003003532
cc_mom_5_20,-0.00029573753,0.00029573753
r_on_today_to_vol20,0.00027999087,0.00027999087
abs_r_cc_lag1,-0.00026807038,0.00026807038
cc_mom_5_20_cs_rank,0.00024202284,0.00024202284
vol_20_lag1_cs_rank,0.00023738429,0.00023738429
r_id_lag1,0.00023079352,0.00023079352
id_reversal_1d,-0.00023079281,0.00023079281
r_on_today,-0.0002277361,0.0002277361
on_reversal_1d,0.00022773225,0.00022773225
r_cc_lag1_to_vol20_cs_rank,0.00021958166,0.00021958166
r_cc_mean_5_lag1,-0.00021694713,0.00021694713
abs_r_cc_lag1_cs_rank,0.00021518303,0.00021518303
month,0.00021288912,0.00021288912
r_id_mean_20_lag1,-0.00020708847,0.00020708847
r_on_lag1,0.00020543052,0.00020543052
log_market_cap,0.00020021854,0.00020021854
cc_reversal_1d_cs_rank,0.00019666414,0.00019666414
r_cc_lag1_cs_rank,-0.00019664924,0.00019664924
gap_vs_on_mean20,-0.00018380806,0.00018380806
is_month_end,0.00017031848,0.00017031848
r_on_mean_20,-0.00016926357,0.00016926357
r_on_mean_5,-0.00015719136,0.00015719136
r_cc_mean_5_lag1_cs_rank,0.00012930427,0.00012930427
cc_reversal_1d,-0.0001259552,0.0001259552
r_cc_lag1,0.00012595044,0.00012595044
r_on_mean_20_cs_rank,0.00012245974,0.00012245974
r_id_mean_5_lag1,-0.00011300774,0.00011300774
ddtcn_change_5_lag1,-0.000107942986,0.000107942986
ddtcn_change_5_cs_rank,9.9652934e-05,9.9652934e-05
abs_r_on_today_to_vol20,9.9368255e-05,9.9368255e-05
r_on_today_cs_rank,9.6102485e-05,9.6102485e-05
on_reversal_1d_cs_rank,-9.609056e-05,9.609056e-05
price_for_filter,9.247608e-05,9.247608e-05
day_of_week,-9.099153e-05,9.099153e-05
dtcn_change_20_lag1,9.065149e-05,9.065149e-05
r_cc_mean_20_lag1,9.038937e-05,9.038937e-05
dtcn_lag1,-8.8978806e-05,8.8978806e-05
log_adv20,8.507635e-05,8.507635e-05
r_id_lag1_cs_rank,-8.4690546e-05,8.4690546e-05
id_reversal_1d_cs_rank,8.467982e-05,8.467982e-05
dtcn_change_20,-8.013945e-05,8.013945e-05
r_on_mean_5_cs_rank,7.899228e-05,7.899228e-05
ddtcn_change_20_lag1,7.5708456e-05,7.5708456e-05
abs_r_on_today_to_vol20_cs_rank,-7.546923e-05,7.546923e-05
on_mom_5_20_cs_rank,7.4081414e-05,7.4081414e-05
on_mom_5_20,-7.286957e-05,7.286957e-05
abs_r_on_today_cs_rank,6.986683e-05,6.986683e-05
is_friday,6.931047e-05,6.931047e-05
is_year_end,-6.81405e-05,6.81405e-05
is_month_start,-6.4535496e-05,6.4535496e-05
r_id_mean_20_lag1_cs_rank,6.3950254e-05,6.3950254e-05
abs_r_on_today,-4.2795855e-05,4.2795855e-05
is_monday,3.816621e-05,3.816621e-05
ddtcn_change_5,-3.734445e-05,3.734445e-05
dsi_change_5_cs_rank,-3.3082968e-05,3.3082968e-05
r_id_mean_5_lag1_cs_rank,3.160154e-05,3.160154e-05
r_cc_mean_20_lag1_cs_rank,2.9184548e-05,2.9184548e-05
dtcn_lag20,2.8757422e-05,2.8757422e-05
dsi_change_5,2.8255483e-05,2.8255483e-05
dsi_change_5_lag1,2.4305278e-05,2.4305278e-05
log_price_for_filter,-2.2844428e-05,2.2844428e-05
dtcn_change_5_lag1,-2.2235932e-05,2.2235932e-05
r_on_today_to_vol20_cs_rank,1.9503135e-05,1.9503135e-05
dtcn,-1.602797e-05,1.602797e-05
id_mom_5_20_cs_rank,1.5669311e-05,1.5669311e-05
id_mom_5_20,-1.0077898e-05,1.0077898e-05
dtcn_change_5,-6.458525e-06,6.458525e-06
r_on_lag1_cs_rank,1.7316087e-06,1.7316087e-06
dsi_change_20_lag1,1.762514e-07,1.762514e-07
gap_vs_on_mean20_cs_rank,4.8689042e-08,4.8689042e-08
