date,n_long,n_short,gross_exposure,ret_gross,ret_net,cost_commission,cost_slippage,cost_borrow,turnover,max_pos,mean_pos
2010-03-03,12,12,0.46253505100714803,-0.0004435362537003099,-0.0006328878910208432,4.6253505100714807e-05,0.00013876051530214439,4.3376169176741265e-06,0.46253505100714803,33872628.67,4818073.447991125
2010-03-04,12,12,0.164027978438528,0.0005923952440726508,0.0005219752828901657,1.64027978438528e-05,4.9208393531558395e-05,4.808769807074031e-06,0.164027978438528,13357940.732253727,1708624.7754013333
2010-03-05,12,12,0.6233872470043001,0.003383827640509913,0.003124386912568991,6.233872470043002e-05,0.00018701617410129003,1.008582913920238e-05,0.6233872470043001,38736558.8763625,6493617.156294793
2010-03-08,12,12,0.5928891717019161,0.00029681943419141837,4.723562167916053e-05,5.9288917170191613e-05,0.0001778667515105748,1.2428143831491397e-05,0.5928891717019161,39524028.5843895,6175928.871894958
2010-03-09,12,12,0.9999999999999998,0.0008314835473337757,0.0004143089341423417,9.999999999999999e-05,0.00029999999999999987,1.7174613191434053e-05,0.9999999999999998,44613618.273613475,10416666.666666664
2010-03-10,12,12,0.31525122493403007,-0.0002525999460782822,-0.0003861586524215468,3.152512249340301e-05,9.4575367480209e-05,7.458216369652619e-06,0.31525122493403007,20190247.540000003,3283866.9263961464
2010-03-11,12,12,1.0,0.0018303691344250892,0.0014222495548599336,0.0001,0.0003,8.119579565155555e-06,1.0,61661624.996980235,10416666.666666666
2010-03-12,12,12,0.506312337711802,-0.0028863757553499957,-0.003094093335261287,5.0631233771180206e-05,0.0001518937013135406,5.192644826570493e-06,0.506312337711802,34303514.769738756,5274086.851164605
2010-03-15,12,12,0.7868715508205603,0.00384992981768564,0.0035259266770022893,7.868715508205602e-05,0.00023606146524616806,9.254520355126668e-06,0.7868715508205603,77803621.95674501,8196578.654380836
2010-03-16,12,12,0.9999999999999999,0.0029423314284745743,0.0025316510618799697,0.0001,0.0002999999999999999,1.0680366594604763e-05,0.9999999999999999,53335552.207537495,10416666.666666666
2010-03-17,12,12,0.28509039907578,0.0005169635743309267,0.00039814841372497526,2.8509039907578e-05,8.552711972273399e-05,4.779000975639524e-06,0.28509039907578,13904107.805000002,2969691.6570393746
2010-03-18,12,12,0.26716220493426,-0.0009965533307640549,-0.001112953203117099,2.6716220493426e-05,8.014866148027799e-05,9.53499037934016e-06,0.26716220493426,13378427.0225,2782939.6347318753
2010-03-19,12,12,0.9999999999999998,0.0007904909125944488,0.0003809264365810172,9.999999999999999e-05,0.00029999999999999987,9.564476013431744e-06,0.9999999999999998,61130866.753175,10416666.666666666
2010-03-22,12,12,0.740520094349134,0.0005227972316132855,0.0002192428425923108,7.40520094349134e-05,0.00022215602830474016,7.346351281321111e-06,0.740520094349134,72351039.2991225,7713750.982803479
2010-03-23,13,13,0.521586199240314,-0.00039009292160194486,-0.000609442971120693,5.2158619924031404e-05,0.00015647585977209417,1.071556982262254e-05,0.521586199240314,47974164.676845,5015251.91577225
2010-03-24,12,12,0.9999999999999998,0.004151935226196426,0.0037418518583777253,9.999999999999999e-05,0.00029999999999999987,1.0083367818700997e-05,0.9999999999999998,42902782.77580287,10416666.666666666
2010-03-25,12,12,0.7386350385075998,0.0023316693237871843,0.0020283458345841813,7.386350385075998e-05,0.00022159051155227994,7.869473799963492e-06,0.7386350385075998,73262844.86749999,7694114.984454166
2010-03-26,12,12,0.31896074938256597,0.0017938041874548582,0.0016604617490472977,3.1896074938256597e-05,9.568822481476978e-05,5.758138654534287e-06,0.31896074938256597,21409678.290000003,3322507.806068396
2010-03-29,12,12,0.3785802700038,0.0011055925878627683,0.0009491066823088992,3.785802700038e-05,0.00011357408100114001,5.053797552349206e-06,0.3785802700038,22381611.505000003,3943544.4792062505
2010-03-30,12,12,0.57018015676875,-0.00022185272622455795,-0.0004589131472015338,5.7018015676874995e-05,0.00017105404703062497,8.988358269475921e-06,0.57018015676875,32775897.588555753,5939376.633007812
2010-03-31,12,12,0.38302990725516595,0.0029896025994940643,0.0028318542628821596,3.83029907255166e-05,0.00011490897217654977,4.536373709837826e-06,0.38302990725516595,33592080.19949325,3989894.8672413123
2010-04-01,12,12,0.40757449545074603,0.001413501648074735,0.001244886001304345,4.075744954507461e-05,0.0001222723486352238,5.585848590091635e-06,0.40757449545074603,34257828.52029325,4245567.660945271
2010-04-05,12,12,0.416495994694348,0.00030535558838117694,0.00013284829591184695,4.16495994694348e-05,0.0001249487984083044,5.908894591590762e-06,0.416495994694348,22731465.477500003,4338499.944732792
2010-04-06,12,12,0.27290629828794805,0.00035402534665392513,0.00024150076614967245,2.729062982879481e-05,8.187188948638441e-05,3.3620611890734916e-06,0.27290629828794805,9777380.212175,2842773.940499459
2010-04-07,13,13,0.45833246602897,0.0004182244181764409,0.00022265661181295902,4.5833246602897004e-05,0.000137499739808691,1.223481995189386e-05,0.45833246602897,34162068.59397325,4407042.94258625
