date,window,model,n_eligible,n_raw_short,affected_names,tier_c_names,affected_share,tier_c_share
2010-03-03,full_2010_2024,xgb,616,12,3,0,0.25,0.0
2010-03-04,full_2010_2024,xgb,615,12,4,1,0.3333333333333333,0.08333333333333333
2010-03-05,full_2010_2024,xgb,617,12,3,1,0.25,0.08333333333333333
2010-03-08,full_2010_2024,xgb,617,12,7,3,0.5833333333333334,0.25
2010-03-09,full_2010_2024,xgb,615,12,3,1,0.25,0.08333333333333333
2010-03-10,full_2010_2024,xgb,618,12,4,3,0.3333333333333333,0.25
2010-03-11,full_2010_2024,xgb,619,12,1,0,0.08333333333333333,0.0
2010-03-12,full_2010_2024,xgb,621,12,4,0,0.3333333333333333,0.0
2010-03-15,full_2010_2024,xgb,618,12,3,3,0.25,0.25
2010-03-16,full_2010_2024,xgb,617,12,5,3,0.4166666666666667,0.25
2010-03-17,full_2010_2024,xgb,617,12,5,2,0.4166666666666667,0.16666666666666666
2010-03-18,full_2010_2024,xgb,618,12,7,5,0.5833333333333334,0.4166666666666667
2010-03-19,full_2010_2024,xgb,620,12,3,1,0.25,0.08333333333333333
2010-03-22,full_2010_2024,xgb,625,12,3,1,0.25,0.08333333333333333
2010-03-23,full_2010_2024,xgb,626,13,7,6,0.5384615384615384,0.46153846153846156
2010-03-24,full_2010_2024,xgb,622,12,4,2,0.3333333333333333,0.16666666666666666
2010-03-25,full_2010_2024,xgb,623,12,2,2,0.16666666666666666,0.16666666666666666
2010-03-26,full_2010_2024,xgb,624,12,5,3,0.4166666666666667,0.25
2010-03-29,full_2010_2024,xgb,624,12,2,2,0.16666666666666666,0.16666666666666666
2010-03-30,full_2010_2024,xgb,624,12,4,2,0.3333333333333333,0.16666666666666666
2010-03-31,full_2010_2024,xgb,622,12,3,1,0.25,0.08333333333333333
2010-04-01,full_2010_2024,xgb,625,12,3,1,0.25,0.08333333333333333
2010-04-05,full_2010_2024,xgb,625,12,5,2,0.4166666666666667,0.16666666666666666
2010-04-06,full_2010_2024,xgb,625,12,3,0,0.25,0.0
2010-04-07,full_2010_2024,xgb,628,13,5,1,0.38461538461538464,0.07692307692307693
2010-04-08,full_2010_2024,xgb,627,13,3,1,0.23076923076923078,0.07692307692307693
2010-04-09,full_2010_2024,xgb,626,13,3,1,0.23076923076923078,0.07692307692307693
2010-04-12,full_2010_2024,xgb,627,13,1,0,0.07692307692307693,0.0
2010-04-13,full_2010_2024,xgb,624,12,1,0,0.08333333333333333,0.0
2010-04-14,full_2010_2024,xgb,623,12,0,0,0.0,0.0
2010-04-15,full_2010_2024,xgb,624,12,0,0,0.0,0.0
2010-04-16,full_2010_2024,xgb,619,12,0,0,0.0,0.0
2010-04-19,full_2010_2024,xgb,610,12,1,0,0.08333333333333333,0.0
2010-04-20,full_2010_2024,xgb,603,12,1,0,0.08333333333333333,0.0
2010-04-21,full_2010_2024,xgb,594,12,2,1,0.16666666666666666,0.08333333333333333
2010-04-22,full_2010_2024,xgb,596,12,3,0,0.25,0.0
2010-04-23,full_2010_2024,xgb,604,12,3,2,0.25,0.16666666666666666
2010-04-26,full_2010_2024,xgb,607,12,3,1,0.25,0.08333333333333333
2010-04-27,full_2010_2024,xgb,600,12,3,2,0.25,0.16666666666666666
2010-04-28,full_2010_2024,xgb,583,12,8,4,0.6666666666666666,0.3333333333333333
2010-04-29,full_2010_2024,xgb,593,12,5,1,0.4166666666666667,0.08333333333333333
