w_ridge,quantile,valid_net_sharpe,valid_gross_sharpe
0.0,0.02,0.9114844315055839,1.8892563224774845
0.0,0.03,0.6493615546343366,1.7796283606557013
0.0,0.05,0.45924209377378666,1.802897398657212
0.0,0.1,-0.1607691891770889,1.4649754775972925
0.3,0.02,0.997708090344777,1.988230360940477
0.3,0.03,0.8376525451699758,2.0209075845613627
0.3,0.05,0.2737071885402257,1.6676092372112097
0.3,0.1,-0.06630729473903817,1.5968550913139772
0.5,0.02,0.9590597881344258,1.9697930683756903
0.5,0.03,0.7003569091254948,1.8992955558347802
0.5,0.05,0.31448487759051375,1.7394719292362368
0.5,0.1,-0.20906491995721677,1.4891790041861308
0.7,0.02,0.5255697211104987,1.5236950563310518
0.7,0.03,0.47111683841087004,1.702078441088825
0.7,0.05,0.07829199119539684,1.5407012007388026
0.7,0.1,-0.30025347181865064,1.474354880734826
1.0,0.02,-0.49699973145265947,0.5739849665657795
1.0,0.03,-0.7395867760542607,0.6065267130193479
1.0,0.05,-0.9290889877636009,0.7525422896208676
1.0,0.1,-1.0110972825647713,1.0363244870155333
